fecha_prueba,Negativo,IgG Positivo,IgM e IgG Positivo,IgM Positivo
2021-08-10,7,1,1,0
2021-08-11,10,0,0,0
2021-08-12,3,0,0,1
2021-08-13,3,3,2,1
2021-08-14,5,1,0,0
2021-08-15,1,1,0,0
2021-08-16,5,3,1,0
2021-08-17,4,7,0,0
2021-08-18,13,3,0,0
2021-08-19,12,6,0,0
2021-08-20,10,6,0,0
2021-08-21,2,0,0,0
2021-08-22,0,1,0,0
2021-08-23,12,2,0,0
2021-08-24,6,3,0,0
2021-08-25,2,3,0,0
2021-08-26,6,2,0,0
2021-08-27,6,4,0,0
2021-08-28,8,2,0,0
2021-08-30,3,0,0,0
2021-08-31,5,7,0,0
2021-09-01,8,3,0,0
2021-09-02,7,5,0,0
2021-09-03,4,3,1,0
2021-09-04,9,2,0,0
2021-09-05,1,0,0,0
2021-09-06,7,6,0,0
2021-09-07,8,1,0,0
2021-09-08,5,2,0,0
2021-09-09,9,0,0,0
2021-09-10,8,2,0,0
2021-09-11,8,1,0,0
2021-09-12,1,0,1,0
2021-09-13,6,8,0,0
2021-09-14,7,5,1,0
2021-09-15,8,2,0,0
2021-09-16,9,2,0,0
2021-09-17,8,4,0,0
2021-09-18,3,0,1,0
2021-09-19,0,1,0,0
2021-09-20,12,0,1,0
2021-09-21,13,5,0,0
2021-09-22,9,1,0,0
2021-09-23,4,3,0,0
2021-09-24,3,2,0,0
2021-09-25,7,4,0,0
2021-09-26,1,0,0,1
2021-09-27,4,3,1,0
2021-09-28,5,4,1,0
2021-09-29,2,3,0,0
2021-09-30,5,3,0,0
2021-10-01,10,2,0,0
2021-10-02,2,2,0,0
2021-10-03,1,1,0,0
2021-10-04,6,2,0,0
2021-10-05,4,2,0,0
2021-10-06,6,3,0,1
2021-10-07,3,8,0,0
2021-10-08,4,2,0,0
2021-10-09,2,1,0,1
2021-10-10,0,1,0,0
2021-10-11,7,2,0,0
2021-10-12,2,7,0,0
2021-10-13,7,6,0,0
2021-10-14,2,2,1,0
2021-10-15,6,1,0,0
2021-10-16,3,0,0,0
2021-10-17,1,0,0,0
2021-10-18,7,1,0,0
2021-10-19,2,2,1,0
2021-10-20,5,3,1,0
2021-10-21,3,3,0,0
2021-10-22,6,1,0,0
2021-10-23,5,2,0,0
2021-10-24,1,1,0,0
2021-10-25,2,2,0,0
2021-10-26,5,4,0,0
2021-10-27,5,2,0,0
2021-10-28,4,4,0,0
2021-10-29,10,2,0,0
2021-10-30,3,1,0,0
2021-10-31,1,1,0,0
2021-11-01,5,0,0,0
2021-11-02,5,3,1,0
2021-11-03,8,3,0,0
2021-11-04,6,2,0,0
2021-11-05,8,3,0,0
2021-11-06,2,2,0,0
2021-11-07,0,1,0,0
2021-11-08,4,3,0,0
2021-11-09,4,2,0,0
2021-11-10,5,1,0,0
2021-11-11,9,3,0,0
2021-11-12,9,3,0,0
2021-11-13,6,2,0,0
2021-11-14,1,1,0,0
2021-11-15,7,2,0,0
2021-11-16,7,1,0,0
2021-11-17,2,2,0,0
2021-11-18,2,3,0,0
2021-11-19,4,2,0,0
2021-11-20,4,1,1,0
2021-11-21,1,0,1,0
2021-11-22,4,2,0,0
2021-11-23,2,3,1,0
2021-11-24,8,2,0,0
2021-11-25,3,1,1,0
2021-11-26,6,2,0,0
2021-11-27,2,2,0,0
2021-11-29,5,0,0,0
2021-11-30,5,4,1,1
2021-12-01,4,4,0,0
2021-12-02,6,1,0,0
2021-12-03,2,3,0,0
2021-12-04,3,1,0,0
2021-12-05,2,2,0,0
2021-12-06,7,1,1,0
2021-12-07,2,4,0,0
2021-12-08,2,0,0,0
2021-12-09,5,0,0,0
2021-12-10,3,1,0,0
2021-12-11,3,0,0,0
2021-12-12,1,0,0,0
2021-12-13,3,2,0,0
2021-12-14,2,1,0,0
2021-12-15,2,3,0,0
2021-12-16,2,0,0,0
2021-12-17,2,1,0,0
2021-12-18,3,1,0,0
2021-12-19,1,0,0,0
2021-12-20,0,0,2,0
2021-12-23,3,0,0,0
2021-12-29,1,0,1,0
2022-01-02,3,0,1,0
2022-01-03,1,0,1,0
2022-01-04,0,1,0,0
2022-02-04,0,0,1,0
